Kuupäev,Kategooria,Kirjeldus,Summa
2025-01-01,Toit,Prisma,-24.50
2025-01-02,Transport,Bolt,-6.90
2025-01-03,Tervis,Apteek,-12.30
2025-01-04,Meelelahutus,Spotify,-9.99
2025-01-05,Toit,Selver,-18.40
2025-01-06,Eluasemekulud,Elekter,-45.00
2025-01-07,Sissetulek,Palk,+1450.00
2025-01-08,Toit,Coop,-34.75
2025-01-09,Transport,Tallinna Ühistransport,-2.00
2025-01-10,Meelelahutus,Netflix,-11.99
2025-01-11,Tervis,Hambaarst,-70.00
2025-01-12,Toit,Rimi,-23.60
2025-01-13,Transport,Bolt,-7.50
2025-01-14,Eluasemekulud,Vesi,-18.30
2025-01-15,Meelelahutus,Kino,-10.00
2025-01-16,Toit,Prisma,-26.20
2025-01-17,Tervis,Apteek,-14.10
2025-01-18,Toit,Selver,-19.90
2025-01-19,Sissetulek,Palk,+1450.00
2025-01-20,Transport,Bolt,-6.20
2025-01-21,Meelelahutus,Spotify,-9.99
2025-01-22,Eluasemekulud,Elekter,-48.10
2025-01-23,Toit,Coop,-32.85
2025-01-24,Tervis,Arstivisiit,-40.00
2025-01-25,Meelelahutus,Netflix,-11.99
2025-01-26,Transport,Bussipilet,-2.00
2025-01-27,Toit,Rimi,-21.45
2025-01-28,Toit,Prisma,-25.00
2025-01-29,Tervis,Apteek,-13.75
2025-01-30,Meelelahutus,Kino,-10.00
2025-01-31,Sissetulek,Palk,+1450.00
2025-02-01,Toit,Selver,-20.90
2025-02-02,Transport,Bolt,-7.30
2025-02-03,Meelelahutus,Spotify,-9.99
2025-02-04,Toit,Coop,-31.60
2025-02-05,Eluasemekulud,Üür,-400.00
2025-02-06,Tervis,Apteek,-15.00
2025-02-07,Meelelahutus,Netflix,-11.99
2025-02-08,Transport,Takso,-8.00
2025-02-09,Toit,Rimi,-22.15
2025-02-10,Tervis,Arstivisiit,-35.00
2025-02-11,Säästud,Säästukontole,-100.00
2025-02-12,Meelelahutus,Spotify,-9.99
2025-02-13,Toit,Prisma,-24.90
2025-02-14,Eluasemekulud,Elekter,-47.60
2025-02-15,Transport,Bolt,-7.00
2025-02-16,Toit,Selver,-19.45
2025-02-17,Tervis,Apteek,-14.80
2025-02-18,Sissetulek,Palk,+1450.00
2025-02-19,Meelelahutus,Netflix,-11.99
2025-02-20,Toit,Coop,-30.75
2025-02-21,Transport,Bussipilet,-2.00
2025-02-22,Meelelahutus,Kino,-10.00
2025-02-23,Toit,Rimi,-22.90
2025-02-24,Tervis,Hambaarst,-65.00
2025-02-25,Toit,Prisma,-26.10
2025-02-26,Transport,Bolt,-6.50
2025-02-27,Toit,Selver,-20.40
2025-02-28,Sissetulek,Palk,+1450.00
2025-03-01,Eluasemekulud,Vesi,-16.75
2025-03-02,Tervis,Apteek,-13.20
2025-03-03,Meelelahutus,Spotify,-9.99
2025-03-04,Toit,Coop,-31.25
2025-03-05,Transport,Takso,-8.40
2025-03-06,Toit,Rimi,-23.90
2025-03-07,Tervis,Arstivisiit,-37.50
2025-03-08,Meelelahutus,Netflix,-11.99
2025-03-09,Toit,Prisma,-27.30
2025-03-10,Transport,Bolt,-7.20
2025-03-11,Toit,Selver,-20.80
2025-03-12,Sissetulek,Palk,+1450.00
2025-03-13,Eluasemekulud,Elekter,-46.20
2025-03-14,Meelelahutus,Kino,-10.00
2025-03-15,Tervis,Apteek,-14.60
2025-03-16,Toit,Coop,-33.00
2025-03-17,Transport,Bussipilet,-2.00
2025-03-18,Tervis,Hambaarst,-60.00
2025-03-19,Toit,Rimi,-24.10
2025-03-20,Meelelahutus,Spotify,-9.99
2025-03-21,Toit,Prisma,-25.75
2025-03-22,Eluasemekulud,Vesi,-17.30
2025-03-23,Transport,Bolt,-6.80
2025-03-24,Toit,Selver,-21.60
2025-03-25,Sissetulek,Palk,+1450.00
2025-03-26,Tervis,Apteek,-15.00
2025-03-27,Meelelahutus,Netflix,-11.99
2025-03-28,Toit,Coop,-34.90
2025-03-29,Transport,Takso,-7.90
2025-03-30,Toit,Rimi,-22.70
2025-03-31,Tervis,Arstivisiit,-42.00
2025-04-01,Toit,Prisma,-26.50
2025-04-02,Transport,Bolt,-6.70
2025-04-03,Toit,Selver,-19.20
2025-04-04,Meelelahutus,Kino,-10.00
2025-04-05,Sissetulek,Palk,+1450.00
